title,company,location,description,url,gaijin_score,japanese_score,international_score,benefits_score,leave_score,days_of_leave,additional_benefits
Solutions Consultant,Contentsquare,"Ville, département ou code postal","À propos de l’offre d’emploi
Contentsquare is the all-in-one experience intelligence platform designed to be easily used by anyone who cares about digital journeys. With our flexible and scalable platform, organizations quickly get a deep understanding of their customers’ whole online journey.

We are a global leader in the experience analytics space, having secured $1.4 billion in funding and expanded to 15 offices worldwide. We’re here to stay—and we’re looking for team members that can help u...",,40,0,10,5,15,Non spécifié,"Télétravail, Stock options, Activités team building, Évènements sociaux"
Solution Consultant - MidMarket,ServiceNow,"Ville, département ou code postal","À propos de l’offre d’emploi
Company Description

It all started in sunny San Diego, California in 2004 when a visionary engineer, Fred Luddy, saw the potential to transform how we work. Fast forward to today — ServiceNow stands as a global market leader, bringing innovative AI-enhanced technology to over 8,100 customers, including 85% of the Fortune 500®. Our intelligent cloud-based platform seamlessly connects people, systems, and processes to empower organizations to find smarter, faster, and...",,25,0,15,0,0,Non spécifié,
"Solutions Consultant, Enterprise team",Palo Alto Networks,"Ville, département ou code postal","À propos de l’offre d’emploi
Our Mission

At Palo Alto Networks® everything starts and ends with our mission:

Being the cybersecurity partner of choice, protecting our digital way of life.

Our vision is a world where each day is safer and more secure than the one before. We are a company built on the foundation of challenging and disrupting the way things are done, and we’re looking for innovators who are as committed to shaping the future of cybersecurity as we are.

Who We Are

We take our m...",,35,10,10,0,0,Non spécifié,
Implementation Consultant,Oracle,"Ville, département ou code postal","À propos de l’offre d’emploi
Job Description

Necessities

Able to travel extensively and be away from home for extended periods of time and/or to work remotely from home or from the base office

Willing to work overtime, overnight, weekends and public holidays as requested

Commitment to adhere to company standards, policies, and procedures

Ability to communicate effectively and build rapport with Oracle team members, customer stakeholders and customer team members and other related vendors fr...",,30,0,0,5,10,Non spécifié,Retraite/401k
Software Consultant,Hexagon Asset Lifecycle Intelligence,"Ville, département ou code postal","À propos de l’offre d’emploi
Responsibilities

Works as part of a global team to support customers by troubleshooting and resolving technically complex support issues related to Hexagon ALI Solutions and interfaces.
CAESAR II and PV Elite cases support
Regularly interacts with solution development and product ownership teams to investigate problems, discuss and document design issues, and provide customer feedback.
Possesses strong interpersonal skills and effectively communicates with internal ...",,25,0,15,0,0,Non spécifié,
Associate Technology Consultant - Galaxy Program (Madrid-Tokyo),Celonis,"Ville, département ou code postal","À propos de l’offre d’emploi
We're Celonis, the global leader in Process Mining technology and one of the world's fastest-growing SaaS firms. We believe there is a massive opportunity to unlock productivity by placing data and intelligence at the core of business processes - and for that, we need you to join us.

The Team 

You will be joining the Celonis Services team. Our team’s mission is to drive product success along three core principles: simplicity, focus, and execution.

As a team, we en...",,35,0,10,0,5,Non spécifié,"Stock options, Gym/Fitness"
"Consultant, IT Strategy Consulting/デジタル戦略コンサルティング部門 コンサルタント",Gartner,"Ville, département ou code postal","À propos de l’offre d’emploi
::::求人に関するお問い合わせ::::

人事部採用担当宛(JapanConsultingRecruiting@gartner.com)にご遠慮なくお問い合わせください。

ご応募前にもう少しポジションについてお知りになりたい方にはカジュアル面談の機会を設定させて頂きます。

As a Consultant working at the highest senior levels within our clients’ organizations you will have the opportunity to make a real difference in shaping, managing, and delivering real value assisting our clients in successfully managing their technology and defining their IT strategies.

顧客企業のシニアマネジメントと協業するコンサルタントとして、うまく顧客のテクノロジ...",,40,0,15,5,5,Non spécifié,Télétravail
Performance and Technology - Consultant,AlixPartners,"Ville, département ou code postal","À propos de l’offre d’emploi
At AlixPartners, we solve the most complex and critical challenges by moving quickly from analysis to action when it really matters; creating value that has a lasting impact on companies, their people, and the communities they serve. By understanding, respecting, and honoring the needs of our employees, clients, and communities, AlixPartners actively promotes an inclusive environment. We strongly believe in the value that diversity brings to our experiences and are c...",,35,0,15,0,10,Non spécifié,"Télétravail, Retraite/401k, Stock options"
Technical Consultant AEM,Adobe,"Ville, département ou code postal","À propos de l’offre d’emploi
Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating excepti...",,30,0,5,5,5,Non spécifié,Assurance santé
Professional Services Consultant,MasterControl,"Ville, département ou code postal","À propos de l’offre d’emploi
About MasterControl:

MasterControl Inc. is a leading provider of cloud-based quality and compliance software for life sciences and other regulated industries. Our mission is the same as that of our customers to bring life-changing products to more people sooner. The MasterControl Platform helps organizations digitize, automate and connect quality and compliance processes across the regulated product development life cycle. Over 1,000 companies worldwide rely on Mast...",,30,0,10,5,5,Non spécifié,"Télétravail, Gym/Fitness"
